_id,author,category,etext,language,title,zipfile
47,"Dumas, Alexandre",Fiction,http://www.gutenberg.org/etext/1184,English,"Count of Monte Cristo, The",http://www.archive.org/download/count_monte_cristo_0711_librivox/count_monte_cristo_0711_librivox_64kb_mp3.zip
52,"Balzac, Honoré de",Fiction,http://www.gutenberg.org/etext/1941,English,Letters of Two Brides,http://www.archive.org/download/letters_brides_0709_librivox/letters_brides_0709_librivox_64kb_mp3.zip
53,"Dickens, Charles",Fiction,http://www.gutenberg.org/etext/1023,English,Bleak House,http://www.archive.org/download/bleak_house_cl_librivox/bleak_house_cl_librivox_64kb_mp3.zip
54,"France, Anatole",Fiction,http://www.gutenberg.org/etext/1930,English,Penguin Island,http://www.archive.org/download/penguin_island_ms_librivox/penguin_island_ms_librivox_64kb_mp3.zip
55,"Fitzgerald, F. Scott",Fiction,http://www.gutenberg.org/etext/805,English,This Side of Paradise,http://www.archive.org/download/this_side_paradise_librivox/this_side_paradise_librivox_64kb_mp3.zip
56,"Burnett, Frances Hodgson",Fiction,http://www.gutenberg.org/etext/113,English,"Secret Garden, The",http://www.archive.org/download/secret_garden_librivox/secret_garden_librivox_64kb_mp3.zip
57,"Dumas, Alexandre",Fiction,http://www.gutenberg.org/etext/1259,English,Twenty Years After,http://www.archive.org/download/twentyyearsafter_0904_librivox/twentyyearsafter_0904_librivox_64kb_mp3.zip
59,"Twain, Mark",Fiction,http://www.gutenberg.org/etext/76,English,"Adventures of Huckleberry Finn, The",http://www.archive.org/download/huck_finn_librivox/huck_finn_librivox_64kb_mp3.zip
64,"Conrad, Joseph",Fiction,http://www.gutenberg.org/etext/219,English,Heart of Darkness,http://www.archive.org/download/heart_of_darkness/heart_of_darkness_64kb_mp3.zip
65,Homer,Fiction,http://www.gutenberg.org/etext/1727,English,"Odyssey, The",http://www.archive.org/download/odyssey_butler_librivox/odyssey_butler_librivox_64kb_mp3.zip
66,"Grimm, Jacob & Wilhelm",Fiction,http://gutenberg.spiegel.de/grimm/maerchen/0htmldir.htm,German,Märchen (Index aller Märchen),http://www.archive.org/download/grimm_maerchen_1_librivox/grimm_maerchen_1_librivox_64kb_mp3.zip
67,Dante Alighieri,Fiction,http://www.gutenberg.org/etext/1004,English,"Divine Comedy, The",http://www.archive.org/download/divine_comedy_librivox/divine_comedy_librivox_64kb_mp3.zip
71,"Wilde, Oscar",Fiction,http://www.gutenberg.org/etext/14522,English,"Canterville Ghost, The",http://www.archive.org/download/canterville_ghost_librivox/canterville_ghost_librivox_64kb_mp3.zip
73,Esopo,,http://www.edyd.com/Fabulas/Esopo/Eindice.htm,Spanish,"Fábulas de Esopo, Las, Vol 1",http://www.archive.org/download/fabulas_esopo_01_librivox/fabulas_esopo_01_librivox_64kb_mp3.zip
74,"Baum, L. Frank",Fiction,http://www.gutenberg.org/etext/5312,English,Mother Goose in Prose,http://www.archive.org/download/mother_goose_prose_librivox/mother_goose_prose_librivox_64kb_mp3.zip
